"","WT.GSM130365","WT.GSM130366","WT.GSM130367","KO.GSM130368","KO.GSM130369","KO.GSM130370"
"99157_at",5.75755668893945,7.69348695749933,8.04875931191986,6.64385618977472,6.51569983828404,8.25408377931942
"99158_at",8.74416109557041,8.6582114827518,8.84172158112846,8.64205169292798,9.08294736012785,8.78168756150718
"99159_at",9.63208641283518,9.66195619727729,9.82161455934585,10.0722666151321,10.211279947482,9.91811785103177
"99160_s_at",9.91453462648653,10.1394234482327,10.4108752995061,9.77165452814055,9.88539133157044,9.96087076379617
"99161_at",10.8409352427208,10.8576700359625,10.9665054519057,10.2877123795494,10.5314789366179,10.515502735334
"99162_at",10.2854022188622,10.1637754503972,10.3461812766505,10.1002681061729,10.1206266915313,10.0195907283579
"99163_at",7.5713734359732,7.952450058359,7.77610398807316,8.13647851834917,8.20506011054465,7.96866679319521
"99164_at",9.77856999352952,9.92273304987684,9.86372168308213,9.96737037701611,9.81490285121536,9.86851392389546
"99166_at",9.20212382383046,9.89845023280787,9.97956810009519,10.0620461377205,9.42521590329938,9.77955521667791
"99167_at",10.1242505797869,10.2818141431817,9.91602871841884,10.2046934013605,10.1952491578022,10.2314612098343
"99168_at",9.53332973230583,9.74735382947806,9.63952159951083,9.54496443278924,9.66817586897014,9.82448147470042
"99169_at",10.6529345786069,10.606682805305,10.5844927969759,10.7905928625669,10.5173741270131,10.4137336945783
"99171_at",6.94719858426206,6.5298209465287,5.83541884047548,5.68929916053589,5.6667565918848,6.05311133645956
"99172_at",6.44294349584873,5.73335434061383,6.22881869049588,6.92362461136832,6.46923479366766,6.84924870276441
"99175_at",9.5836469446753,9.32845054051034,9.28725064325462,9.20236874277526,9.38823259689555,9.43275066893517
"99176_at",9.22809716257842,8.9005649573591,9.08480838780436,8.69522829149575,8.73606362787181,8.9029779958324
"99178_at",5.46923479366766,6.12722055048807,4.03562390973072,3.67807190511264,4.88752527074159,4.97269265400426
"99179_at",9.23673177213915,9.83320635997039,9.63299519714296,9.30218194087563,9.10826307530433,9.22809716257842
"99180_at",11.9480021309777,11.9630405567167,12.0219169003694,11.9932214673689,11.9087303610338,12.0357613550736
"99182_at",9.27029532647204,8.87282875953488,8.83605035505807,8.69453201009184,9.23433844869563,9.48280795672667
"99183_at",10.4589192069676,10.076949173741,10.2525471739116,9.90974310767542,10.3925320935687,10.4032251090256
"99184_at",8.8073549220576,8.69870466677034,9.06339508128851,8.92807417295309,9.31741261376487,8.8835597252632
"99185_at",8.31379002544369,8.82273014794452,8.69244114734777,7.54997714277182,8.58496250072116,8.20506011054465
"99186_at",11.1209506233289,11.1469504589321,11.298749947248,11.4661784510779,11.3386806789873,11.3432412453661
"99187_f_at",8.7790626892054,8.97842446544086,8.73538678289534,8.55420510515565,8.1006623390052,8.10223819393074
"99188_at",10.0014081943928,9.97713679189199,9.89026427702111,9.2223119115543,9.87697730769454,9.61856903957084
"99190_at",8.17791779219584,6.59544398458948,8.57667329251658,9.04685116515398,8.47532812262242,8.83035674741922
"99191_at",8.94280770624278,9.19155278109168,9.283088353024,8.55343730575441,8.83067364913184,9.08001802908917
"99194_at",8.95564990752837,8.97785230797118,8.81057163474115,8.73369327989434,8.99378756313484,9.04083764926659
"99195_at",2.67807190511264,2.16992500144231,2.8073549220576,1.88752527074159,3.78659636189081,3.51096191927738
"99196_at",10.9248125036058,11.1435107675942,10.9579726209154,11.1160189933251,10.9915927036205,10.8158635804679
"99197_at",7.11165734626313,7.32373033752135,7.47167521439204,6.15583017155653,6.17592374206376,6.51569983828404
"99198_at",7.9518675043269,7.3264294871223,7.45121111183233,6.97727992349992,7.86789646399265,7.80864246791806
"99236_at",5.74953426766926,4.02680005934372,5.74416109557041,4.7279204545632,4.88264304936184,5.68650052718322
"99237_at",4.69488019279919,2.40599235967584,2.65535182861255,3.95419631038688,0.765534746362977,1.96347412397489
"99238_at",5.15785216914174,6.71011763204345,7.18189764310839,5.35755200461808,5.00898878322726,6.38543103719352
"99239_at",6.467605550083,6.53760669149529,7.21723071622067,6,7.11582397743624,6.38715571766298
"99269_g_at",5.73876783680019,4.95884267524324,5.14974711950468,4.96347412397489,4.40599235967584,6.55612281784117
"99320_at",6.93191939010004,7.52277766952458,5.456149034648,7.94836723158468,7.21723071622067,7.21042783040149
"99321_at",4.49185309632967,7.00225245173138,5.18982455888002,5.02680005934372,4.52356195605701,5.43962313755712
"99322_at",4.7279204545632,4.41278152533848,6.39231742277876,4.03562390973072,3.29278174922785,4.19377174339668
"99323_at",6.16591193893569,4.877744249949,6.54225804976692,6.35579154675365,5.85798099512757,6.53760669149529
"99324_at",6.64673869830785,6.14771372235215,5.56985560833095,6.97613447283165,5.85049941375812,5.50143914515887
"99325_at",6.46923479366766,5.93545974780529,7.79960542245267,7.21819994369474,6.96000193206808,7.51727569320958
"99326_at",8.34385193344212,8.24982454861618,8.55803798477699,8.47775826644389,8.21431912080077,8.07788386443832
"99327_at",7.86913111964429,7.17990909001493,7.18289089274548,7.59245703726808,8.04165915163721,8.05961485629722
"99328_at",5.77873424411784,6.43295940727611,6.77082904603249,7.1333991254172,7.23266075679027,7.01010845347429
"99329_at",7.49984588708321,7.64169052255661,7.74416109557041,8.0427537609772,8.21868431336217,8.2128611165929
"99330_at",7.11478344724985,7.32732808262995,8.31379002544369,7.57440430902258,7.11894107272351,7.61102479730735
"99331_at",3.86789646399265,4.01792190799726,4.16992500144231,3.58496250072116,5.4757334309664,3.01792190799726
"99332_at",4.90689059560852,7.16490692667569,6.3037807481771,6.74953426766926,4.03562390973072,6.00674683244058
"99333_at",2.96347412397489,4.97269265400426,6.88264304936184,6.43629511983936,4.30012372456901,3.98185265328974
"99334_at",1,2.60880924267552,1.72246602447109,4.09592441999854,1.8073549220576,3.70043971814109
"99335_at",12.6687520516949,13.2778394944337,12.9109237475872,13.0968798363038,13.3435743799984,13.1786492912263
"99336_at",14.1678022906463,14.1005555782499,14.2063886505093,14.2450178354799,14.0465442631764,13.9925046837982
"99337_at",6.63517394667492,7.37590826307501,6.876516946565,5.73606362787181,5.62935662007961,6.6667565918848
"99338_at",10.6732207265589,9.8808079483628,9.79911969379956,10.0077281146323,10.1948799460175,10.6808869207197
"99339_r_at",-0.15200309344505,6.12308675098106,3.48542682717024,0.925999418556223,1.37851162325373,4.96347412397489
"99340_at",14.5659529222608,14.4330833313778,14.2610297598188,14.1189653985364,14.1407578898007,14.262601403201
"99341_r_at",1.72246602447109,4.77082904603249,4.71149490665009,2.20163386116965,2.63226821549951,5.07895134139482
"99342_at",4.53605290024021,3.62058641045188,3.57288966842058,3.30742852519225,3.96347412397489,4.59693514238723
"99343_at",7.77544567410286,7.57969306345875,7.41278152533848,7.75288236627309,7.95768248616512,8.0869323411374
"99344_at",2.60880924267552,4.62058641045188,3.85798099512757,5.53915881110803,2.98185265328974,3.97269265400426
"99345_at",7.79506558265962,7.9692426044345,7.81762325751143,7.8801957289431,7.52904005609508,7.31379002544369
"99346_at",3.01792190799726,2.60880924267552,4.4262647547021,3.92599941855622,3.95419631038688,3.83794324189103
"99347_f_at",7.77939105953591,7.05093696522523,6.68369645430652,7.31015831794782,6.56529252058102,7.51096191927738
"99348_r_at",3.56071495447448,4.85798099512757,5.6409679104499,5.36806987653208,4.8073549220576,5.18586654531133
"99349_at",4.13750352374993,3.78659636189081,5.74953426766926,6.1106138055009,6.07895134139482,5.76022094646651
"99350_at",7.35314682549808,4.66106547980695,8.12412131182919,7.71080643369935,7.21140163741847,7.0948694327187
"99351_at",6.36806987653208,7.10852445677817,7.35314682549808,5.79181407116183,6.6409679104499,7.20554891117303
"99354_s_at",5.32912359629157,4.63807383718072,6.63807383718072,6.4093909361377,3.26303440583379,1.37851162325373
"99355_r_at",3.73335434061383,5.79181407116183,4.80219321694183,5.25927248703759,2.92599941855622,4.12928301694497
"99356_r_at",4.99095486039699,3.98185265328974,6.94368695159709,5.77873424411784,4.24792751344359,6.36981542428391
"99357_at",2.58496250072116,3.43295940727611,3.47248777146274,3.33628338786443,2.63226821549951,4.20163386116965
"99358_at",6.02236781302845,2.98185265328974,3.44625622988956,5.83289001416474,3.71149490665009,3.23266075679027
"99359_at",3.41953889151378,4.57288966842058,3.65535182861255,3.48542682717024,4.54843662469604,4.05311133645956
"99360_at",7.67877617412388,7.36981542428391,5.73876783680019,5.26303440583379,4.93545974780529,4.5909612413426
"99361_at",5.57893871309339,5.3110671022556,6.90207357931074,6.07895134139482,4.78659636189081,5.12101540096137
"99362_at",7.456149034648,6.9692426044345,7.0703893278914,4.58496250072116,6.14159627838382,6.43295940727611
"99363_at",5.44294349584873,5.51096191927738,6.46923479366766,5.4757334309664,6.65821148275179,6.24792751344359
"99364_at",6.24412594328373,6.15177765473205,3.41953889151378,3.60880924267552,1.84799690655495,5.83289001416474
"99365_at",8.45450493755737,8.67383905599044,8.93073733756289,9.30924896081662,9.08666701791074,8.83888875478618
